fold;fit_time_seconds;val_accuracy;val_macro_f1;val_weighted_f1;val_balanced_accuracy
1;26.18;0.8892857142857142;0.565595944539669;0.8828327629623088;0.5441690085431741
2;26.44;0.8911149825783972;0.5680330530396729;0.8851120980730675;0.5493964564417866
3;24.21;0.8876306620209059;0.5647050739328551;0.8813933966683819;0.5473056586228378
4;24.06;0.8917247386759581;0.5672429566682092;0.8857010777354872;0.5519460786762369
