entity_id_candidate;name_official_candidate;place_rank;place_id;place_name;formatted_address;places_status
vr_006886;Verein zur Förderung der Kommunikation unter Gropiusstädter-Frauen-Frauen-Café in der Gropiusstadt e. V.;1.0;ChIJV4ks5elFqEcRf_Q0hc3bKmQ;Frauen-Café Gropiusstadt;Löwensteinring 22A, 12353 Berlin;OK
vr_036185;Unter einer Decke Kultur e. V.;1.0;ChIJaR1AnSxSqEcRFjus9wv4fkM;Unter Druck - Kultur von der Straße e.V.;Oudenarder Str. 26, 13347 Berlin;OK
vr_036185;Unter einer Decke Kultur e. V.;2.0;ChIJ0VfJX3ghZUERN2d4yp1DSo8;Theater unterm Dach;Schönfließer Str. 7, 10439 Berlin;OK
vr_036185;Unter einer Decke Kultur e. V.;3.0;ChIJncRx2aNPqEcRfkWAPBhIrDo;Kulturnetzwerk Neukölln e.V.;Karl-Marx-Straße 131, 12043 Berlin-Bezirk Neukölln;OK
vr_012111;Unter Druck e. V.;1.0;ChIJaR1AnSxSqEcRFjus9wv4fkM;Unter Druck - Kultur von der Straße e.V.;Oudenarder Str. 26, 13347 Berlin;OK
kör_100154;Katholische Kirchengemeinde Maria unter dem Kreuz;1.0;ChIJTQh-jmFQqEcRN9hibD9bGzU;Katholische Kirche Heilig Kreuz;Hildegardstraße 3A, 10715 Berlin;OK
vr_002945;Turnerschaft Schöneberg 1904 e. V.;1.0;ChIJ__-vBEBQqEcREFywciMq9OU;Turnerschaft;Freymüllerweg 4A, 12247 Berlin;OK
vr_005716;Stadtteilverein Schöneberg e. V.;1.0;ChIJdRZKR3EjZUERFMAl-rZwDBY;Stadtteilverein Schöneberg e.V.;Crellestraße 38, 10827 Berlin-Bezirk Tempelhof-Schöneberg;OK
vr_001279;Schwimm-Gemeinschaft Schöneberg Berlin e. V.;1.0;ChIJXbvEaxNQqEcRa0JIOKRY9js;Schwimm-Gemeinschaft Schöneberg, Berlin e. V.;Priesterweg 6, 10829 Berlin;OK
vr_000566;Nachbarschaftsheim Schöneberg e. V.;1.0;ChIJmaJtkHdQqEcRM8_QHqXRUrg;Nachbarschaftsheim Schöneberg;Holsteinische Str. 30, 12161 Berlin-Bezirk Tempelhof-Schöneberg;OK
vr_000566;Nachbarschaftsheim Schöneberg e. V.;2.0;ChIJKxEaUGVQqEcRT9es0tTafkg;Nachbarschaftsheim Schöneberg e.V.;Hähnelstraße 5, 12159 Berlin-Bezirk Tempelhof-Schöneberg;OK
vr_000566;Nachbarschaftsheim Schöneberg e. V.;3.0;ChIJXY183gpQqEcRkaqYakqd95o;Nachbarschaftsheim Schöneberg e.V. Kindertagesstätte;Riemenschneiderweg 13, 12157 Berlin-Bezirk Tempelhof-Schöneberg;OK
hrb_256275;Kalamon - Kultur gUG (haftungsbeschränkt);1.0;ChIJVVXFvrRPqEcRV_mSq33S_Is;Kalamon-Institut für arabische Sprache;Wildenbruchstr. 69, 12045 Berlin;OK
vr_024308;Zentrum für arabische Filmkunst und Kultur e. V.;1.0;ChIJrVOSOEhQqEcRNb3Q7YcZ9uY;Freunde der arabischen Kinemathek, Berlin e.V.;Potsdamer Str. 151, 10783 Berlin-Bezirk Tempelhof-Schöneberg;OK
vr_024308;Zentrum für arabische Filmkunst und Kultur e. V.;2.0;ChIJEy8_tURbqEcRjg58t6Le1YM;Der Divan - Das Arabische Kulturhaus;Schützallee 27-29, 14169 Berlin;OK
vr_024308;Zentrum für arabische Filmkunst und Kultur e. V.;3.0;ChIJu8Mam8lRqEcRF3R0BWoZzpQ;Arsenal Filminstitut e.V.;Gerichtstraße 53, 13347 Berlin;OK
vr_024264;Deutsch Arabische Freundschaft e. V.;1.0;ChIJzfw4cNBRqEcR30j3nfV4Ez0;DAFG - Deutsch-Arabische Freundschaftsgesellschaft e. V.;Wallstraße 61, 10179 Berlin;OK
vr_024264;Deutsch Arabische Freundschaft e. V.;2.0;ChIJc-O7M9ZXqEcRTb-SjtpkjJk;Deutsch Arabische Freundschaft & Familienbegegnung e. V.;Semmelländerweg 10, 13593 Berlin-Bezirk Spandau;OK
