Modell;trial_number;objective_value;penalty;alpha;max_iter;tol;average;l1_ratio;accuracy_mean;accuracy_std;balanced_accuracy_mean;balanced_accuracy_std;fit_time_mean_seconds;fit_time_total_seconds;generalization_gap_accuracy;generalization_gap_balanced_accuracy;generalization_gap_macro_f1;generalization_gap_weighted_f1;macro_f1_mean;macro_f1_std;model_name;score_time_mean_seconds;test_accuracy_mean;test_accuracy_std;test_balanced_accuracy_mean;test_balanced_accuracy_std;test_macro_f1_mean;test_macro_f1_std;test_weighted_f1_mean;test_weighted_f1_std;train_accuracy_mean;train_accuracy_std;train_balanced_accuracy_mean;train_balanced_accuracy_std;train_macro_f1_mean;train_macro_f1_std;train_weighted_f1_mean;train_weighted_f1_std;weighted_f1_mean;weighted_f1_std
SGD hinge;23;0.8396;elasticnet;6.562591066071081e-06;2000;0.0001;False;0.13642087521211016;0.9395;0.0019;0.8493;0.0113;5.24;20.97;0.0534;0.1414;0.1256;0.0534;0.8396;0.0075;SGD hinge;0.91;0.9395;0.0019;0.8493;0.0113;0.8396;0.0075;0.9396;0.0016;0.9929;0.0004;0.9907;0.0007;0.9652;0.0059;0.993;0.0003;0.9396;0.0016
SGD hinge;45;0.8396;elasticnet;5.252085254986975e-06;5000;0.0001;False;0.14881331115287677;0.9392;0.0029;0.8469;0.0114;5.69;22.77;0.0544;0.1449;0.1276;0.0546;0.8396;0.0072;SGD hinge;0.88;0.9392;0.0029;0.8469;0.0114;0.8396;0.0072;0.9392;0.0027;0.9936;0.0002;0.9918;0.0013;0.9672;0.0071;0.9938;0.0002;0.9392;0.0027
SGD hinge;44;0.8395;elasticnet;6.869749717255972e-06;5000;0.0001;False;0.1271604143576524;0.9403;0.003;0.8506;0.0123;5.04;20.17;0.0524;0.14;0.1232;0.0524;0.8395;0.0083;SGD hinge;0.77;0.9403;0.003;0.8506;0.0123;0.8395;0.0083;0.9405;0.0028;0.9927;0.0005;0.9906;0.0006;0.9627;0.0051;0.9929;0.0005;0.9405;0.0028
SGD hinge;10;0.8391;elasticnet;1.019932851577901e-05;2000;0.0001;False;0.29342475867899653;0.9383;0.0027;0.8526;0.0099;5.21;20.85;0.0516;0.1375;0.1264;0.0514;0.8391;0.0059;SGD hinge;0.73;0.9383;0.0027;0.8526;0.0099;0.8391;0.0059;0.9386;0.0024;0.9899;0.0005;0.9901;0.0004;0.9655;0.0045;0.99;0.0004;0.9386;0.0024
SGD hinge;21;0.8372;elasticnet;3.6551272909167294e-06;2000;0.0001;False;0.05612897890417276;0.9382;0.0016;0.8484;0.009;4.69;18.74;0.0545;0.1416;0.1271;0.0546;0.8372;0.0179;SGD hinge;0.77;0.9382;0.0016;0.8484;0.009;0.8372;0.0179;0.9388;0.0018;0.9927;0.0017;0.99;0.003;0.9643;0.0143;0.9934;0.0009;0.9388;0.0018
SGD hinge;12;0.837;elasticnet;1.8819519105571703e-05;2000;0.0001;False;0.2780158623258376;0.9348;0.0024;0.8569;0.007;5.55;22.18;0.0473;0.1304;0.1173;0.047;0.837;0.0064;SGD hinge;0.8;0.9348;0.0024;0.8569;0.007;0.837;0.0064;0.9354;0.0024;0.9821;0.0006;0.9873;0.001;0.9543;0.0052;0.9824;0.0006;0.9354;0.0024
SGD hinge;15;0.8363;elasticnet;6.917878430886958e-06;2000;0.0001;False;0.21499156747541698;0.9399;0.0027;0.8573;0.0036;4.9;19.6;0.0521;0.1329;0.1233;0.0523;0.8363;0.0067;SGD hinge;0.76;0.9399;0.0027;0.8573;0.0036;0.8363;0.0067;0.9401;0.0025;0.992;0.0007;0.9902;0.0024;0.9596;0.0107;0.9924;0.0003;0.9401;0.0025
SGD hinge;32;0.8346;elasticnet;1.4862903029938664e-06;1000;0.0001;False;0.17594054569216636;0.9374;0.002;0.8421;0.0104;6.12;24.47;0.0569;0.1489;0.1338;0.0569;0.8346;0.0053;SGD hinge;0.83;0.9374;0.002;0.8421;0.0104;0.8346;0.0053;0.9375;0.0019;0.9943;0.001;0.991;0.0036;0.9684;0.0104;0.9944;0.0009;0.9375;0.0019
SGD hinge;27;0.8339;elasticnet;2.9407880593658378e-05;2000;0.0001;False;0.09755196847688313;0.9355;0.0019;0.8507;0.012;5.95;23.82;0.047;0.1349;0.1199;0.0465;0.8339;0.0102;SGD hinge;0.94;0.9355;0.0019;0.8507;0.012;0.8339;0.0102;0.9363;0.0017;0.9825;0.0003;0.9856;0.0014;0.9538;0.0034;0.9828;0.0003;0.9363;0.0017
SGD hinge;20;0.8336;elasticnet;1.0584011055150882e-05;2000;0.0001;False;0.22117580682877092;0.9389;0.002;0.8523;0.0075;5.53;22.1;0.0516;0.1374;0.1284;0.0516;0.8336;0.0121;SGD hinge;0.82;0.9389;0.002;0.8523;0.0075;0.8336;0.0121;0.9391;0.0017;0.9905;0.0002;0.9897;0.0013;0.962;0.0069;0.9907;0.0001;0.9391;0.0017
SGD hinge;49;0.8326;elasticnet;3.1569492884255573e-06;5000;0.0001;False;0.19567752043574008;0.9386;0.0028;0.844;0.0114;5.95;23.81;0.0554;0.1476;0.1339;0.0558;0.8326;0.0056;SGD hinge;0.87;0.9386;0.0028;0.844;0.0114;0.8326;0.0056;0.9384;0.0025;0.994;0.0003;0.9916;0.0006;0.9665;0.0059;0.9942;0.0004;0.9384;0.0025
SGD hinge;40;0.8308;l2;1.0741014847253049e-06;1000;0.001;False;;0.9332;0.0015;0.8407;0.0158;2.67;10.67;0.0595;0.1495;0.133;0.0596;0.8308;0.0129;SGD hinge;0.78;0.9332;0.0015;0.8407;0.0158;0.8308;0.0129;0.9334;0.0021;0.9927;0.0012;0.9902;0.0043;0.9638;0.0123;0.993;0.001;0.9334;0.0021
SGD hinge;37;0.83;elasticnet;1.487629812744681e-06;1000;0.001;False;0.14505232347978725;0.9356;0.0028;0.8458;0.014;4.29;17.17;0.0575;0.1429;0.1306;0.0578;0.83;0.0096;SGD hinge;0.82;0.9356;0.0028;0.8458;0.014;0.83;0.0096;0.9355;0.0026;0.9931;0.0005;0.9887;0.0024;0.9606;0.0109;0.9933;0.0004;0.9355;0.0026
SGD hinge;9;0.8277;elasticnet;5.595986878006084e-06;2000;0.001;False;0.33503169042969055;0.9359;0.0032;0.8458;0.0113;3.26;13.02;0.0555;0.1456;0.1325;0.0558;0.8277;0.0045;SGD hinge;0.81;0.9359;0.0032;0.8458;0.0113;0.8277;0.0045;0.9357;0.003;0.9914;0.0013;0.9914;0.0019;0.9602;0.0081;0.9915;0.0012;0.9357;0.003
SGD hinge;35;0.8267;elasticnet;2.2569304624146846e-06;1000;0.01;False;0.09500064142533551;0.9301;0.0031;0.8449;0.0098;2.97;11.87;0.0581;0.1427;0.1204;0.0584;0.8267;0.0055;SGD hinge;0.83;0.9301;0.0031;0.8449;0.0098;0.8267;0.0055;0.9301;0.003;0.9882;0.002;0.9876;0.0015;0.9471;0.0098;0.9885;0.0018;0.9301;0.003
SGD hinge;29;0.8248;elasticnet;2.6469851532204823e-06;5000;0.01;False;0.41471068504334035;0.9341;0.0018;0.8497;0.0119;3.14;12.56;0.057;0.1356;0.1165;0.0575;0.8248;0.0108;SGD hinge;0.92;0.9341;0.0018;0.8497;0.0119;0.8248;0.0108;0.9339;0.0017;0.9911;0.0006;0.9853;0.0045;0.9413;0.0072;0.9914;0.0007;0.9339;0.0017
SGD hinge;48;0.8226;l2;1.6228609790975253e-05;5000;0.01;False;;0.9303;0.0036;0.8504;0.0075;1.94;7.76;0.0528;0.1323;0.1139;0.0519;0.8226;0.01;SGD hinge;0.87;0.9303;0.0036;0.8504;0.0075;0.8226;0.01;0.9315;0.0032;0.9831;0.0011;0.9827;0.0027;0.9365;0.0098;0.9834;0.0011;0.9315;0.0032
SGD hinge;4;0.8215;elasticnet;4.366473592979636e-05;2000;0.0001;False;0.13819228808861533;0.9268;0.0019;0.8537;0.0082;4.77;19.09;0.0444;0.1239;0.1087;0.0438;0.8215;0.0081;SGD hinge;0.81;0.9268;0.0019;0.8537;0.0082;0.8215;0.0081;0.9278;0.0015;0.9712;0.002;0.9776;0.0022;0.9302;0.0137;0.9716;0.0018;0.9278;0.0015
SGD hinge;6;0.8207;l2;1.0388823104027941e-06;1000;0.0001;True;;0.9382;0.0018;0.8599;0.0121;4.49;17.96;0.0526;0.1261;0.0986;0.0527;0.8207;0.0094;SGD hinge;0.75;0.9382;0.0018;0.8599;0.0121;0.8207;0.0094;0.9387;0.0018;0.9908;0.0002;0.986;0.0011;0.9193;0.0017;0.9914;0.0002;0.9387;0.0018
SGD hinge;38;0.8192;l2;4.36481061870459e-06;1000;0.0001;True;;0.9378;0.0013;0.8591;0.0121;4.73;18.93;0.0515;0.1233;0.091;0.0517;0.8192;0.0085;SGD hinge;0.74;0.9378;0.0013;0.8591;0.0121;0.8192;0.0085;0.9383;0.0012;0.9893;0.0005;0.9824;0.0015;0.9102;0.0018;0.99;0.0005;0.9383;0.0012
SGD hinge;7;0.8181;l2;1.5512259126484753e-06;5000;0.001;True;;0.9361;0.0022;0.8595;0.0096;3.05;12.18;0.0523;0.1242;0.0938;0.0523;0.8181;0.0109;SGD hinge;0.72;0.9361;0.0022;0.8595;0.0096;0.8181;0.0109;0.9368;0.002;0.9884;0.0004;0.9837;0.0017;0.9119;0.0043;0.9891;0.0003;0.9368;0.002
SGD hinge;34;0.8171;l2;4.004360502566311e-06;1000;0.0001;True;;0.9383;0.0014;0.8561;0.0095;5.02;20.08;0.0513;0.1266;0.0936;0.0514;0.8171;0.0079;SGD hinge;0.83;0.9383;0.0014;0.8561;0.0095;0.8171;0.0079;0.9389;0.0012;0.9896;0.0003;0.9827;0.002;0.9107;0.0024;0.9903;0.0003;0.9389;0.0012
SGD hinge;26;0.817;l2;5.044122616050271e-06;2000;0.0001;True;;0.9381;0.0016;0.8547;0.0062;5.0;20.01;0.0513;0.1288;0.0946;0.0514;0.817;0.0095;SGD hinge;0.82;0.9381;0.0016;0.8547;0.0062;0.817;0.0095;0.9387;0.0015;0.9894;0.0003;0.9835;0.0026;0.9116;0.0034;0.9901;0.0003;0.9387;0.0015
SGD hinge;46;0.8143;elasticnet;1.8507926595819011e-06;5000;0.001;True;0.07752977176068694;0.9327;0.0024;0.8562;0.0058;5.8;23.2;0.0532;0.1259;0.093;0.0533;0.8143;0.0092;SGD hinge;0.79;0.9327;0.0024;0.8562;0.0058;0.8143;0.0092;0.9333;0.0021;0.9859;0.001;0.9821;0.0021;0.9073;0.0038;0.9866;0.0008;0.9333;0.0021
SGD hinge;19;0.8129;elasticnet;8.28715379790703e-05;1000;0.0001;False;0.059668087363515566;0.9203;0.0009;0.8458;0.014;4.91;19.65;0.0441;0.1276;0.1093;0.0434;0.8129;0.0168;SGD hinge;0.88;0.9203;0.0009;0.8458;0.014;0.8129;0.0168;0.9218;0.0007;0.9644;0.0013;0.9734;0.0024;0.9222;0.009;0.9652;0.0011;0.9218;0.0007
SGD hinge;13;0.8116;elasticnet;5.748702434765382e-05;2000;0.0001;False;0.1735182379771164;0.9154;0.0023;0.8528;0.0073;4.71;18.85;0.0405;0.1164;0.1018;0.0395;0.8116;0.0079;SGD hinge;0.82;0.9154;0.0023;0.8528;0.0073;0.8116;0.0079;0.9172;0.0022;0.9559;0.0022;0.9692;0.0024;0.9134;0.007;0.9567;0.0021;0.9172;0.0022
SGD hinge;36;0.8114;elasticnet;3.0032557560093967e-06;1000;0.0001;True;0.09594032859025545;0.9223;0.0022;0.8485;0.0064;8.15;32.58;0.0529;0.1273;0.0919;0.0531;0.8114;0.0121;SGD hinge;0.86;0.9223;0.0022;0.8485;0.0064;0.8114;0.0121;0.9227;0.0022;0.9752;0.0009;0.9758;0.003;0.9033;0.0028;0.9758;0.001;0.9227;0.0022
SGD hinge;25;0.8105;elasticnet;1.4450650491648738e-05;2000;0.01;False;0.22341304016574592;0.9252;0.0031;0.8503;0.0058;2.4;9.61;0.0499;0.1268;0.106;0.0498;0.8105;0.0092;SGD hinge;0.79;0.9252;0.0031;0.8503;0.0058;0.8105;0.0092;0.9272;0.0014;0.9751;0.005;0.9771;0.0049;0.9165;0.0163;0.977;0.0028;0.9272;0.0014
SGD hinge;5;0.8102;elasticnet;1.4656553886225336e-05;2000;0.001;False;0.49409912147023277;0.9273;0.0032;0.8425;0.0121;3.04;12.16;0.0477;0.1367;0.1156;0.0474;0.8102;0.0126;SGD hinge;0.79;0.9273;0.0032;0.8425;0.0121;0.8102;0.0126;0.9281;0.0028;0.975;0.0006;0.9792;0.0026;0.9258;0.0107;0.9755;0.0005;0.9281;0.0028
SGD hinge;3;0.8079;l2;1.9634341572933354e-06;1000;0.01;True;;0.9326;0.0016;0.8553;0.0149;2.49;9.97;0.0503;0.1212;0.0903;0.0503;0.8079;0.0073;SGD hinge;0.83;0.9326;0.0016;0.8553;0.0149;0.8079;0.0073;0.9334;0.0015;0.9829;0.0004;0.9765;0.0028;0.8982;0.0051;0.9837;0.0004;0.9334;0.0015
SGD hinge;1;0.8053;l2;3.5113563139704077e-06;5000;0.01;True;;0.9307;0.0014;0.8542;0.0136;2.53;10.11;0.0501;0.1201;0.0881;0.0501;0.8053;0.0077;SGD hinge;0.93;0.9307;0.0014;0.8542;0.0136;0.8053;0.0077;0.9316;0.0012;0.9808;0.0004;0.9743;0.0015;0.8934;0.0044;0.9817;0.0003;0.9316;0.0012
SGD hinge;8;0.7989;l2;0.00020554245520150764;2000;0.001;False;;0.9096;0.0011;0.8493;0.0117;1.78;7.12;0.0436;0.1146;0.0943;0.0426;0.7989;0.0137;SGD hinge;0.78;0.9096;0.0011;0.8493;0.0117;0.7989;0.0137;0.912;0.0008;0.9532;0.0017;0.9639;0.0031;0.8932;0.0099;0.9546;0.0014;0.912;0.0008
SGD hinge;18;0.7988;elasticnet;2.5382651243142182e-05;5000;0.01;False;0.3996433004044841;0.9114;0.0048;0.8437;0.0115;2.28;9.12;0.0404;0.1175;0.0903;0.0398;0.7988;0.0161;SGD hinge;0.82;0.9114;0.0048;0.8437;0.0115;0.7988;0.0161;0.9132;0.0043;0.9518;0.0027;0.9612;0.0029;0.8891;0.01;0.953;0.0024;0.9132;0.0043
SGD hinge;0;0.6747;elasticnet;0.000157029708840554;1000;0.001;False;0.48645943347289744;0.8122;0.007;0.7504;0.0223;5.55;22.21;0.0166;0.0809;0.0576;0.0162;0.6747;0.0049;SGD hinge;0.81;0.8122;0.007;0.7504;0.0223;0.6747;0.0049;0.8101;0.0068;0.8288;0.0055;0.8313;0.0062;0.7323;0.0053;0.8263;0.0058;0.8101;0.0068
SGD hinge;47;0.561;elasticnet;0.0007058882123454629;5000;0.0001;False;0.1598882198042698;0.7651;0.0043;0.6671;0.0138;3.57;14.27;0.0114;0.0685;0.0572;0.0108;0.561;0.0117;SGD hinge;0.83;0.7651;0.0043;0.6671;0.0138;0.561;0.0117;0.7636;0.005;0.7765;0.0039;0.7356;0.005;0.6182;0.0073;0.7744;0.0044;0.7636;0.005
SGD hinge;14;0.4932;elasticnet;0.0007890122142467837;2000;0.0001;False;0.3478765981685176;0.7046;0.0109;0.607;0.0204;2.88;11.53;0.0056;0.0398;0.0284;0.0048;0.4932;0.0086;SGD hinge;0.75;0.7046;0.0109;0.607;0.0204;0.4932;0.0086;0.7078;0.01;0.7102;0.0081;0.6468;0.0078;0.5216;0.0126;0.7126;0.0082;0.7078;0.01
SGD hinge;2;0.0719;elasticnet;0.0002267398652378039;5000;0.001;True;0.4845344148835517;0.0061;0.001;0.1139;0.0131;3.18;12.72;-0.0019;0.0065;-0.0007;-0.0016;0.0719;0.0187;SGD hinge;0.75;0.0061;0.001;0.1139;0.0131;0.0719;0.0187;0.0056;0.0012;0.0042;0.001;0.1204;0.0076;0.0712;0.0165;0.004;0.0011;0.0056;0.0012
